neighborhood,name,lat,lon,address,categories,has_cuisine_tag,cuisine_raw,has_opening_hours,opening_hours_raw,has_price_signal,price_signal_raw
Back Bay,PURO ceviche bar,42.3492309,-71.0831297,"PURO ceviche bar, 264 Newbury Street, Boston, MA 02116, United States of America",catering;catering.restaurant,True,latin_american;wine;seafood,False,,False,
Fenway,Max and Leo's,42.3470711,-71.0982672,"Max and Leo's, 4 Jersey Street, Boston, MA 02115, United States of America",catering;catering.restaurant;catering.restaurant.pizza,True,pizza,False,,False,
Fenway,Dell Technologies Club,42.3458914,-71.0981069,"Dell Technologies Club, 4 Jersey Street, Boston, MA 02115, United States of America",catering;catering.restaurant,False,,False,,False,
Fenway,Royal Rooters Club,42.3462967,-71.0956324,"Royal Rooters Club, 4 Jersey Street, Boston, MA 02115, United States of America",activity;activity.sport_club;catering;catering.restaurant,False,,False,,False,
Fenway,Sal's Pizza,42.3473432,-71.0986931,"Sal's Pizza, 51 Brookline Avenue, Boston, MA 02215, United States of America",building;building.catering;catering;catering.restaurant;catering.restaurant.pizza,True,pizza,False,,False,
Fenway,Loco Taqueria & Oyster Bar,42.3469999,-71.0989887,"Loco Taqueria & Oyster Bar, 61 Brookline Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,True,Mo-Fr 11:00-01:00; Sa-Su 10:00-01:00,False,
Fenway,House of Blues,42.3474108,-71.0955967,"House of Blues, 15 Lansdowne Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.american,True,american,False,,False,
Fenway,Fenway Johnnies,42.3461322,-71.0992865,"Fenway Johnnies, 96 Brookline Avenue, Boston, MA 02215, United States of America",building;building.catering;catering;catering.restaurant,False,,False,,False,
Fenway,Blue Ribbon,42.3485601,-71.0961765,"Blue Ribbon, 528 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;wheelchair;wheelchair.yes,False,,True,"Mo-Th 16:00-22:00; Fr,Sa 16:00-23:00; Su 11:00-16:00,16:00-21:00",False,
Fenway,Honeygrow,42.3446359,-71.0965848,"Honeygrow, 1282 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Fenway,Blaze Pizza,42.3444241,-71.0974206,"Blaze Pizza, 1282 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.pizza;wheelchair;wheelchair.yes,True,pizza,True,Mo-Su 11:00-22:00,False,
